wl(um),n,k
1.028,1.450068418,0
1.029,1.450056107,0
1.03,1.450043806,0
1.031,1.450031515,0
1.032,1.450019233,0
1.033,1.450006962,0
1.034,1.449994699,0
1.035,1.449982447,0
1.036,1.449970204,0
1.037,1.44995797,0
1.038,1.449945746,0
1.039,1.44993353,0
1.04,1.449921325,0
1.041,1.449909128,0
1.042,1.44989694,0
1.043,1.449884762,0
1.044,1.449872592,0
1.045,1.449860431,0
1.046,1.44984828,0
1.047,1.449836136,0
1.048,1.449824002,0
1.049,1.449811876,0
1.05,1.449799759,0
1.051,1.449787651,0
1.052,1.449775551,0
1.053,1.449763459,0
1.054,1.449751376,0
1.055,1.449739301,0
1.056,1.449727234,0
1.057,1.449715175,0
1.058,1.449703125,0
1.059,1.449691083,0
1.06,1.449679048,0
1.061,1.449667022,0
1.062,1.449655003,0
1.063,1.449642993,0
1.064,1.44963099,0
1.065,1.449618995,0
1.066,1.449607007,0
1.067,1.449595027,0
1.068,1.449583055,0
1.069,1.44957109,0
1.07,1.449559133,0
1.071,1.449547183,0
1.072,1.44953524,0
1.073,1.449523305,0
1.074,1.449511377,0
1.075,1.449499456,0
1.076,1.449487542,0
1.077,1.449475635,0
1.078,1.449463735,0
1.079,1.449451842,0
1.08,1.449439956,0
1.081,1.449428077,0
1.082,1.449416205,0
1.083,1.44940434,0
1.084,1.449392481,0
1.085,1.449380629,0
1.086,1.449368783,0
1.087,1.449356944,0
1.088,1.449345112,0
1.089,1.449333286,0
1.09,1.449321466,0
1.091,1.449309653,0
1.092,1.449297845,0
1.093,1.449286045,0
1.094,1.44927425,0
1.095,1.449262462,0
1.096,1.449250679,0
1.097,1.449238903,0
1.098,1.449227133,0
1.099,1.449215368,0
1.1,1.44920361,0
1.101,1.449191857,0
1.102,1.44918011,0
1.103,1.449168369,0
1.104,1.449156634,0
1.105,1.449144904,0
1.106,1.44913318,0
1.107,1.449121462,0
1.108,1.449109749,0
1.109,1.449098041,0
1.11,1.449086339,0
1.111,1.449074642,0
1.112,1.449062951,0
1.113,1.449051265,0
1.114,1.449039584,0
1.115,1.449027909,0
1.116,1.449016238,0
1.117,1.449004573,0
1.118,1.448992913,0
1.119,1.448981258,0
1.12,1.448969607,0
1.121,1.448957962,0
1.122,1.448946322,0
1.123,1.448934686,0
1.124,1.448923055,0
1.125,1.448911429,0
1.126,1.448899808,0
1.127,1.448888192,0
1.128,1.44887658,0
1.129,1.448864972,0
1.13,1.44885337,0
1.131,1.448841771,0
1.132,1.448830178,0
1.133,1.448818588,0
1.134,1.448807003,0
1.135,1.448795423,0
1.136,1.448783846,0
1.137,1.448772274,0
1.138,1.448760706,0
1.139,1.448749143,0
1.14,1.448737583,0
1.141,1.448726028,0
1.142,1.448714476,0
1.143,1.448702929,0
1.144,1.448691386,0
1.145,1.448679846,0
1.146,1.448668311,0
1.147,1.448656779,0
1.148,1.448645251,0
1.149,1.448633727,0
1.15,1.448622207,0
1.151,1.44861069,0
1.152,1.448599177,0
1.153,1.448587668,0
1.154,1.448576162,0
1.155,1.44856466,0
1.156,1.448553162,0
1.157,1.448541667,0
1.158,1.448530175,0
1.159,1.448518687,0
1.16,1.448507202,0
1.161,1.44849572,0
1.162,1.448484242,0
1.163,1.448472767,0
1.164,1.448461295,0
1.165,1.448449826,0
1.166,1.448438361,0
1.167,1.448426899,0
1.168,1.448415439,0
1.169,1.448403983,0
1.17,1.44839253,0
