wl(um),n,k
1.373,1.446088408,0
1.374,1.446076993,0
1.375,1.446065575,0
1.376,1.446054156,0
1.377,1.446042734,0
1.378,1.446031311,0
1.379,1.446019885,0
1.38,1.446008457,0
1.381,1.445997027,0
1.382,1.445985595,0
1.383,1.445974161,0
1.384,1.445962725,0
1.385,1.445951286,0
1.386,1.445939846,0
1.387,1.445928403,0
1.388,1.445916958,0
1.389,1.445905511,0
1.39,1.445894061,0
1.391,1.44588261,0
1.392,1.445871156,0
1.393,1.445859699,0
