wl,n,k
0.421,2.830582,1.348604
0.422,2.828536,1.346835
0.423,2.826504,1.345121
0.424,2.824487,1.343462
0.425,2.822487,1.341856
0.426,2.820502,1.340304
0.427,2.818534,1.338803
0.428,2.816582,1.337353
0.429,2.814649,1.335954
0.43,2.812732,1.334604
0.431,2.810834,1.333303
0.432,2.808954,1.332049
0.433,2.807093,1.330842
0.434,2.805251,1.329681
0.435,2.803428,1.328565
0.436,2.801624,1.327494
0.437,2.79984,1.326466
0.438,2.798077,1.32548
0.439,2.796333,1.324536
0.44,2.79461,1.323634
0.441,2.792907,1.322771
0.442,2.791225,1.321948
0.443,2.789564,1.321163
0.444,2.787925,1.320417
0.445,2.786305,1.319707
0.446,2.784708,1.319034
0.447,2.783132,1.318396
0.448,2.781577,1.317794
0.449,2.780044,1.317225
0.45,2.778532,1.31669
0.451,2.777042,1.316187
0.452,2.775574,1.315717
0.453,2.774128,1.315278
0.454,2.772703,1.314869
0.455,2.7713,1.314491
0.456,2.769918,1.314141
0.457,2.768559,1.313821
0.458,2.767221,1.313528
0.459,2.765905,1.313263
0.46,2.764611,1.313025
0.461,2.763338,1.312812
0.462,2.762087,1.312625
0.463,2.760857,1.312463
0.464,2.759649,1.312326
0.465,2.758462,1.312212
0.466,2.757296,1.312122
0.467,2.756152,1.312054
0.468,2.755028,1.312008
0.469,2.753926,1.311983
0.47,2.752845,1.31198
0.471,2.751784,1.311998
0.472,2.750745,1.312035
0.473,2.749725,1.312092
0.474,2.748726,1.312167
0.475,2.747748,1.312262
0.476,2.746789,1.312374
0.477,2.745851,1.312504
0.478,2.744933,1.312651
0.479,2.744034,1.312815
0.48,2.743155,1.312995
0.481,2.742296,1.313191
0.482,2.741455,1.313402
0.483,2.740634,1.313628
0.484,2.739832,1.313869
0.485,2.739048,1.314124
0.486,2.738284,1.314392
0.487,2.737538,1.314674
0.488,2.73681,1.31497
0.489,2.7361,1.315277
0.49,2.735408,1.315598
0.491,2.734734,1.31593
0.492,2.734078,1.316273
0.493,2.733439,1.316628
0.494,2.732817,1.316994
0.495,2.732212,1.317371
0.496,2.731624,1.317758
0.497,2.731053,1.318155
0.498,2.730499,1.318561
0.499,2.729961,1.318977
0.5,2.729439,1.319402
0.501,2.728932,1.319836
0.502,2.728442,1.320279
0.503,2.727967,1.32073
0.504,2.727508,1.321189
0.505,2.727064,1.321656
0.506,2.726635,1.32213
0.507,2.72622,1.322612
0.508,2.725821,1.3231
0.509,2.725436,1.323596
0.51,2.725065,1.324098
0.511,2.724708,1.324607
0.512,2.724365,1.325121
0.513,2.724036,1.325642
0.514,2.723721,1.326169
0.515,2.723418,1.326701
0.516,2.72313,1.327238
0.517,2.722854,1.327781
0.518,2.72259,1.328329
0.519,2.72234,1.328882
0.52,2.722102,1.329439
0.521,2.721876,1.33
0.522,2.721663,1.330567
0.523,2.721461,1.331137
0.524,2.721271,1.331711
0.525,2.721093,1.332289
0.526,2.720926,1.332871
0.527,2.72077,1.333457
0.528,2.720626,1.334046
0.529,2.720492,1.334638
0.53,2.720369,1.335233
0.531,2.720257,1.335832
0.532,2.720155,1.336433
0.533,2.720063,1.337037
0.534,2.719981,1.337644
0.535,2.71991,1.338254
0.536,2.719848,1.338866
0.537,2.719795,1.33948
0.538,2.719753,1.340097
0.539,2.719719,1.340716
0.54,2.719695,1.341337
0.541,2.71968,1.341959
0.542,2.719673,1.342584
0.543,2.719675,1.343211
0.544,2.719686,1.343839
0.545,2.719705,1.344469
0.546,2.719732,1.345101
0.547,2.719768,1.345733
0.548,2.719811,1.346368
0.549,2.719862,1.347004
0.55,2.719922,1.347641
0.551,2.719988,1.348279
0.552,2.720062,1.348918
0.553,2.720143,1.349558
0.554,2.720232,1.3502
0.555,2.720327,1.350842
0.556,2.72043,1.351486
0.557,2.720539,1.35213
0.558,2.720655,1.352775
0.559,2.720777,1.35342
0.56,2.720906,1.354067
0.561,2.721041,1.354714
0.562,2.721182,1.355362
0.563,2.72133,1.35601
0.564,2.721483,1.356659
0.565,2.721642,1.357308
0.566,2.721807,1.357958
0.567,2.721977,1.358608
0.568,2.722153,1.359259
0.569,2.722334,1.35991
0.57,2.72252,1.360561
0.571,2.722712,1.361213
0.572,2.722909,1.361865
0.573,2.72311,1.362517
0.574,2.723317,1.363169
0.575,2.723528,1.363822
0.576,2.723744,1.364475
0.577,2.723964,1.365128
0.578,2.72419,1.365781
0.579,2.724419,1.366434
0.58,2.724652,1.367087
0.581,2.72489,1.367741
0.582,2.725132,1.368394
0.583,2.725378,1.369048
0.584,2.725627,1.369702
0.585,2.725881,1.370355
0.586,2.726138,1.371009
0.587,2.726399,1.371663
0.588,2.726664,1.372316
0.589,2.726932,1.37297
0.59,2.727203,1.373624
0.591,2.727478,1.374277
0.592,2.727756,1.374931
0.593,2.728037,1.375585
0.594,2.728322,1.376239
0.595,2.728609,1.376892
0.596,2.728899,1.377546
0.597,2.729192,1.378199
0.598,2.729489,1.378853
0.599,2.729787,1.379506
0.6,2.730089,1.38016
0.601,2.730393,1.380813
0.602,2.730699,1.381467
0.603,2.731009,1.38212
0.604,2.73132,1.382773
0.605,2.731634,1.383426
0.606,2.73195,1.38408
0.607,2.732268,1.384733
0.608,2.732589,1.385386
0.609,2.732911,1.386039
0.61,2.733236,1.386692
0.611,2.733563,1.387345
0.612,2.733891,1.387998
0.613,2.734222,1.388652
0.614,2.734554,1.389305
0.615,2.734888,1.389958
0.616,2.735224,1.390611
0.617,2.735561,1.391264
0.618,2.7359,1.391918
0.619,2.736241,1.392571
0.62,2.736583,1.393224
0.621,2.736927,1.393878
0.622,2.737272,1.394531
0.623,2.737618,1.395185
0.624,2.737966,1.395839
0.625,2.738315,1.396492
0.626,2.738666,1.397146
0.627,2.739017,1.3978
0.628,2.73937,1.398454
0.629,2.739724,1.399109
0.63,2.740079,1.399763
0.631,2.740434,1.400418
0.632,2.740792,1.401073
0.633,2.741149,1.401728
0.634,2.741508,1.402383
0.635,2.741868,1.403038
0.636,2.742229,1.403694
0.637,2.74259,1.40435
0.638,2.742952,1.405006
0.639,2.743315,1.405662
0.64,2.743679,1.406319
0.641,2.744043,1.406976
0.642,2.744408,1.407633
0.643,2.744774,1.408291
0.644,2.74514,1.408948
0.645,2.745507,1.409607
0.646,2.745874,1.410265
0.647,2.746242,1.410924
0.648,2.74661,1.411583
0.649,2.746979,1.412243
0.65,2.747348,1.412903
0.651,2.747718,1.413563
0.652,2.748088,1.414224
0.653,2.748458,1.414886
0.654,2.748829,1.415547
0.655,2.7492,1.41621
0.656,2.749571,1.416872
0.657,2.749942,1.417536
0.658,2.750314,1.418199
0.659,2.750685,1.418864
0.66,2.751057,1.419528
0.661,2.75143,1.420194
0.662,2.751802,1.42086
0.663,2.752175,1.421526
0.664,2.752547,1.422193
0.665,2.75292,1.422861
0.666,2.753292,1.423529
0.667,2.753665,1.424198
0.668,2.754038,1.424867
0.669,2.754411,1.425537
0.67,2.754783,1.426208
0.671,2.755156,1.42688
0.672,2.755529,1.427552
0.673,2.755901,1.428224
0.674,2.756274,1.428898
0.675,2.756646,1.429572
0.676,2.757019,1.430247
0.677,2.757391,1.430923
0.678,2.757763,1.4316
0.679,2.758135,1.432277
0.68,2.758507,1.432955
0.681,2.758878,1.433634
0.682,2.75925,1.434314
0.683,2.759621,1.434994
