wl,n,k
0.418,3.28459,2.78339
0.419,3.33617,2.78764
0.42,3.38991,2.78847
0.421,3.44535,2.78561
0.422,3.50205,2.77881
0.423,3.5595,2.76791
0.424,3.61723,2.75277
0.425,3.6747,2.73331
0.426,3.73136,2.70947
0.427,3.78654,2.6813
0.428,3.83941,2.64905
0.429,3.88945,2.61346
0.43,3.93648,2.57512
0.431,3.98045,2.53452
0.432,4.02134,2.49207
0.433,4.05917,2.44812
0.434,4.09399,2.40297
0.435,4.12585,2.3569
0.436,4.15481,2.31017
0.437,4.18095,2.263
0.438,4.20435,2.21561
0.439,4.22511,2.16818
0.44,4.24334,2.12089
0.441,4.25915,2.07393
0.442,4.27267,2.02744
0.443,4.28408,1.98155
0.444,4.29355,1.93631
0.445,4.3012,1.89174
0.446,4.3071,1.84788
0.447,4.31134,1.80476
0.448,4.31399,1.76241
0.449,4.31511,1.7209
0.45,4.31477,1.68025
0.451,4.31304,1.64052
0.452,4.30998,1.60175
0.453,4.30566,1.56399
0.454,4.30016,1.52729
0.455,4.29356,1.49169
0.456,4.28593,1.45725
0.457,4.27737,1.42401
0.458,4.268,1.39201
0.459,4.25792,1.36129
0.46,4.24732,1.33187
0.461,4.23633,1.30364
0.462,4.22502,1.27655
0.463,4.21347,1.25053
0.464,4.20173,1.22553
0.465,4.18983,1.20149
0.466,4.17782,1.17836
0.467,4.16572,1.15609
0.468,4.15357,1.13464
0.469,4.14139,1.11397
0.47,4.1292,1.09404
0.471,4.11702,1.0748
0.472,4.10485,1.05623
0.473,4.09271,1.03829
0.474,4.08061,1.02093
0.475,4.06855,1.00414
0.476,4.05653,0.98787
0.477,4.04453,0.97211
0.478,4.03256,0.95682
0.479,4.02059,0.94202
0.48,4.00864,0.92768
0.481,3.99669,0.91381
0.482,3.98477,0.9004
0.483,3.97286,0.88744
0.484,3.96098,0.87493
0.485,3.94914,0.86286
0.486,3.93733,0.85122
0.487,3.92557,0.84001
0.488,3.91387,0.82921
0.489,3.90222,0.81883
0.49,3.89065,0.80886
0.491,3.87915,0.7993
0.492,3.86775,0.79012
0.493,3.85644,0.78134
