"Wavelength, µm",n,k
0.526,5.070453,0.9198701
0.527,5.076095,0.8935236
0.528,5.078916,0.8665226
0.529,5.078992,0.8393674
0.53,5.076488,0.8124932
0.531,5.07163,0.786259
0.532,5.064683,0.7609444
0.533,5.055925,0.7367536
0.534,5.045638,0.7138233
0.535,5.034085,0.6922328
0.536,5.021513,0.6720153
0.537,5.008142,0.6531676
0.538,4.994165,0.6356599
0.539,4.979749,0.6194437
0.54,4.965035,0.6044579
0.541,4.950143,0.5906339
0.542,4.93517,0.5778998
0.543,4.920197,0.5661827
0.544,4.90529,0.5554111
0.545,4.8905,0.5455159
0.546,4.87587,0.5364316
0.547,4.86143,0.5280969
0.548,4.847207,0.5204543
0.549,4.833217,0.5134509
0.55,4.819475,0.5070378
0.551,4.80599,0.50117
0.552,4.792767,0.4958067
0.553,4.779811,0.4909101
0.554,4.767121,0.4864459
0.555,4.754697,0.4823829
0.556,4.742537,0.4786923
0.557,4.730639,0.4753481
0.558,4.718998,0.4723264
0.559,4.70761,0.4696052
0.56,4.696471,0.4671644
0.561,4.685573,0.4649856
0.562,4.674914,0.4630517
0.563,4.664485,0.4613471
0.564,4.654282,0.4598572
0.565,4.644297,0.4585686
0.566,4.634526,0.4574687
0.567,4.624961,0.4565459
0.568,4.615596,0.4557892
0.569,4.606424,0.4551885
0.57,4.597439,0.4547342
0.571,4.588632,0.4544172
0.572,4.579997,0.4542292
0.573,4.571526,0.4541623
0.574,4.563211,0.4542091
0.575,4.555044,0.4543628
0.576,4.547015,0.454617
0.577,4.539116,0.4549658
0.578,4.531335,0.4554041
0.579,4.523664,0.4559271
0.58,4.516091,0.456531
0.581,4.508602,0.4572123
0.582,4.501187,0.4579687
0.583,4.493831,0.4587986
0.584,4.486519,0.4597015
0.585,4.479236,0.460678
0.586,4.471965,0.46173
0.587,4.464688,0.4628612
0.588,4.457385,0.4640765
0.589,4.450037,0.4653833
0.59,4.442622,0.4667907
0.591,4.435116,0.4683108
0.592,4.427495,0.4699581
0.593,4.419733,0.4717508
0.594,4.411802,0.4737106
0.595,4.403675,0.4758633
0.596,4.39532,0.4782399
0.597,4.386706,0.4808766
0.598,4.377801,0.4838159
0.599,4.36857,0.4871077
0.6,4.35898,0.49081
0.601,4.348996,0.4949905
0.602,4.338582,0.4997276
0.603,4.327706,0.5051128
0.604,4.316334,0.511252
0.605,4.304437,0.5182685
0.606,4.29199,0.5263055
0.607,4.278977,0.5355296
0.608,4.265389,0.5461348
0.609,4.251236,0.5583467
0.61,4.236546,0.5724283
0.611,4.221379,0.5886852
0.612,4.205835,0.607472
0.613,4.190073,0.6291985
0.614,4.174333,0.6543347
0.615,4.158963,0.683413
0.616,4.14446,0.717025
0.617,4.131523,0.7558076
0.618,4.121112,0.8004114
0.619,4.114529,0.8514391
0.62,4.113496,0.9093397
0.621,4.120217,0.9742391
0.622,4.137402,1.045692
0.623,4.168177,1.122354
0.624,4.215818,1.201605
0.625,4.283219,1.279222
0.626,4.372086,1.349281
0.627,4.481923,1.404509
0.628,4.609127,1.437295
0.629,4.746666,1.441334
0.63,4.884806,1.413485
0.631,5.012998,1.355028
0.632,5.122302,1.271567
0.633,5.207283,1.171491
0.634,5.266558,1.06375
0.635,5.302057,0.9559879
0.636,5.317628,0.8536142
0.637,5.317736,0.7597662
0.638,5.306581,0.6757715
0.639,5.287681,0.6017416
0.64,5.263775,0.537085
0.641,5.236881,0.4808741
0.642,5.208438,0.4320753
0.643,5.179436,0.3896785
0.644,5.150537,0.3527602
0.645,5.12217,0.3205075
0.646,5.094599,0.2922213
0.647,5.067978,0.2673083
